onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
36.168	n/a	18084	seqLearning_start	91	n/a	n/a	8
44.466	n/a	22233	learningBlock_1	31	n/a	n/a	8
44.48	n/a	22240	dot_no1_ON	11	n/a	n/a	8
45.038	n/a	22519	dot_no1_OFF	21	n/a	n/a	8
46.352	n/a	23176	dot_no6_ON	16	n/a	n/a	8
46.904	n/a	23452	dot_no6_OFF	26	n/a	n/a	8
48.218	n/a	24109	dot_no4_ON	14	n/a	n/a	8
48.77	n/a	24385	dot_no4_OFF	24	n/a	n/a	8
50.084	n/a	25042	dot_no2_ON	12	n/a	n/a	8
50.64	n/a	25320	dot_no2_OFF	22	n/a	n/a	8
51.956	n/a	25978	dot_no7_ON	17	n/a	n/a	8
52.508	n/a	26254	dot_no7_OFF	27	n/a	n/a	8
53.822	n/a	26911	dot_no3_ON	13	n/a	n/a	8
54.38	n/a	27190	dot_no3_OFF	23	n/a	n/a	8
55.694	n/a	27847	dot_no8_ON	18	n/a	n/a	8
56.246	n/a	28123	dot_no8_OFF	28	n/a	n/a	8
57.56	n/a	28780	dot_no5_ON	15	n/a	n/a	8
58.11	n/a	29055	dot_no5_OFF	25	n/a	n/a	8
59.424	n/a	29712	dot_no2_ON	12	n/a	n/a	8
59.976	n/a	29988	dot_no2_OFF	22	n/a	n/a	8
61.29	n/a	30645	dot_no7_ON	17	n/a	n/a	8
61.844	n/a	30922	dot_no7_OFF	27	1-6-2-7-4-8-5-2-5-3	1-6-4-2-7-3-8-5-2-7	8
138.106	n/a	69053	learningBlock_2	32	n/a	n/a	8
138.112	n/a	69056	dot_no1_ON	11	n/a	n/a	8
138.664	n/a	69332	dot_no1_OFF	21	n/a	n/a	8
139.978	n/a	69989	dot_no6_ON	16	n/a	n/a	8
140.526	n/a	70263	dot_no6_OFF	26	n/a	n/a	8
141.84	n/a	70920	dot_no4_ON	14	n/a	n/a	8
142.39	n/a	71195	dot_no4_OFF	24	n/a	n/a	8
143.702	n/a	71851	dot_no2_ON	12	n/a	n/a	8
144.254	n/a	72127	dot_no2_OFF	22	n/a	n/a	8
145.568	n/a	72784	dot_no7_ON	17	n/a	n/a	8
146.12	n/a	73060	dot_no7_OFF	27	n/a	n/a	8
147.434	n/a	73717	dot_no3_ON	13	n/a	n/a	8
147.986	n/a	73993	dot_no3_OFF	23	n/a	n/a	8
149.3	n/a	74650	dot_no8_ON	18	n/a	n/a	8
149.854	n/a	74927	dot_no8_OFF	28	n/a	n/a	8
151.168	n/a	75584	dot_no5_ON	15	n/a	n/a	8
151.718	n/a	75859	dot_no5_OFF	25	n/a	n/a	8
153.032	n/a	76516	dot_no2_ON	12	n/a	n/a	8
153.586	n/a	76793	dot_no2_OFF	22	n/a	n/a	8
154.9	n/a	77450	dot_no7_ON	17	n/a	n/a	8
155.45	n/a	77725	dot_no7_OFF	27	6-2-7-5-8-3-4-1-6-7	1-6-4-2-7-3-8-5-2-7	8
218.41	n/a	109205	learningBlock_3	33	n/a	n/a	8
218.418	n/a	109209	dot_no1_ON	11	n/a	n/a	8
218.968	n/a	109484	dot_no1_OFF	21	n/a	n/a	8
220.282	n/a	110141	dot_no6_ON	16	n/a	n/a	8
220.83	n/a	110415	dot_no6_OFF	26	n/a	n/a	8
222.144	n/a	111072	dot_no4_ON	14	n/a	n/a	8
222.698	n/a	111349	dot_no4_OFF	24	n/a	n/a	8
224.012	n/a	112006	dot_no2_ON	12	n/a	n/a	8
224.564	n/a	112282	dot_no2_OFF	22	n/a	n/a	8
225.878	n/a	112939	dot_no7_ON	17	n/a	n/a	8
226.432	n/a	113216	dot_no7_OFF	27	n/a	n/a	8
227.746	n/a	113873	dot_no3_ON	13	n/a	n/a	8
228.3	n/a	114150	dot_no3_OFF	23	n/a	n/a	8
229.612	n/a	114806	dot_no8_ON	18	n/a	n/a	8
230.166	n/a	115083	dot_no8_OFF	28	n/a	n/a	8
231.478	n/a	115739	dot_no5_ON	15	n/a	n/a	8
232.028	n/a	116014	dot_no5_OFF	25	n/a	n/a	8
233.342	n/a	116671	dot_no2_ON	12	n/a	n/a	8
233.896	n/a	116948	dot_no2_OFF	22	n/a	n/a	8
235.21	n/a	117605	dot_no7_ON	17	n/a	n/a	8
235.762	n/a	117881	dot_no7_OFF	27	1-6-8-4-5-2-3-7-2-5	1-6-4-2-7-3-8-5-2-7	8
263.448	n/a	131724	learningBlock_4	34	n/a	n/a	8
263.46	n/a	131730	dot_no1_ON	11	n/a	n/a	8
264.012	n/a	132006	dot_no1_OFF	21	n/a	n/a	8
265.326	n/a	132663	dot_no6_ON	16	n/a	n/a	8
265.88	n/a	132940	dot_no6_OFF	26	n/a	n/a	8
267.194	n/a	133597	dot_no4_ON	14	n/a	n/a	8
267.746	n/a	133873	dot_no4_OFF	24	n/a	n/a	8
269.06	n/a	134530	dot_no2_ON	12	n/a	n/a	8
269.608	n/a	134804	dot_no2_OFF	22	n/a	n/a	8
270.922	n/a	135461	dot_no7_ON	17	n/a	n/a	8
271.474	n/a	135737	dot_no7_OFF	27	n/a	n/a	8
272.788	n/a	136394	dot_no3_ON	13	n/a	n/a	8
273.342	n/a	136671	dot_no3_OFF	23	n/a	n/a	8
274.654	n/a	137327	dot_no8_ON	18	n/a	n/a	8
275.21	n/a	137605	dot_no8_OFF	28	n/a	n/a	8
276.524	n/a	138262	dot_no5_ON	15	n/a	n/a	8
277.076	n/a	138538	dot_no5_OFF	25	n/a	n/a	8
278.388	n/a	139194	dot_no2_ON	12	n/a	n/a	8
278.942	n/a	139471	dot_no2_OFF	22	n/a	n/a	8
280.256	n/a	140128	dot_no7_ON	17	n/a	n/a	8
280.808	n/a	140404	dot_no7_OFF	27	1-3-7-4-8-6-2-7-3-6	1-6-4-2-7-3-8-5-2-7	8
330.48	n/a	165240	learningBlock_5	35	n/a	n/a	8
330.486	n/a	165243	dot_no1_ON	11	n/a	n/a	8
331.038	n/a	165519	dot_no1_OFF	21	n/a	n/a	8
332.352	n/a	166176	dot_no6_ON	16	n/a	n/a	8
332.904	n/a	166452	dot_no6_OFF	26	n/a	n/a	8
334.216	n/a	167108	dot_no4_ON	14	n/a	n/a	8
334.77	n/a	167385	dot_no4_OFF	24	n/a	n/a	8
336.082	n/a	168041	dot_no2_ON	12	n/a	n/a	8
336.634	n/a	168317	dot_no2_OFF	22	n/a	n/a	8
337.948	n/a	168974	dot_no7_ON	17	n/a	n/a	8
338.502	n/a	169251	dot_no7_OFF	27	n/a	n/a	8
339.816	n/a	169908	dot_no3_ON	13	n/a	n/a	8
340.368	n/a	170184	dot_no3_OFF	23	n/a	n/a	8
341.68	n/a	170840	dot_no8_ON	18	n/a	n/a	8
342.234	n/a	171117	dot_no8_OFF	28	n/a	n/a	8
343.546	n/a	171773	dot_no5_ON	15	n/a	n/a	8
344.098	n/a	172049	dot_no5_OFF	25	n/a	n/a	8
345.412	n/a	172706	dot_no2_ON	12	n/a	n/a	8
345.966	n/a	172983	dot_no2_OFF	22	n/a	n/a	8
347.278	n/a	173639	dot_no7_ON	17	n/a	n/a	8
347.832	n/a	173916	dot_no7_OFF	27	1-6-5-7-3-4-8-2-6-3	1-6-4-2-7-3-8-5-2-7	8
373.556	n/a	186778	seqLearning_stop	50	n/a	n/a	8
375.753	n/a	187876.5	boundary	boundary	n/a	n/a	8
